experiment,model,condition,adversarial_type,outcome_metric,tertile,n_tasks,value_mean,ci_lo_95,ci_hi_95,ci_method,n_boot,seed
E2,CodeLlama-34B,adversarial_A8.3,A8.3,severity,T_high,1,1.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.3,A8.3,severity,T_low,3,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.3,A8.3,severity,T_med,3,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.4,A8.4,count,T_high,1,8.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.4,A8.4,count,T_low,1,8.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.4,A8.4,count,T_med,4,12.5,6.0,20.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.4,A8.4,cvr,T_high,1,1.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.4,A8.4,cvr,T_low,1,1.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.4,A8.4,cvr,T_med,4,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.4,A8.4,severity,T_high,1,1.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.4,A8.4,severity,T_low,1,1.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.4,A8.4,severity,T_med,4,0.925,0.775,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.5,A8.5,count,T_high,1,14.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.5,A8.5,count,T_low,2,8.0,8.0,8.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.5,A8.5,count,T_med,2,8.0,8.0,8.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.5,A8.5,cvr,T_high,1,1.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.5,A8.5,cvr,T_low,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.5,A8.5,cvr,T_med,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.5,A8.5,severity,T_high,1,1.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.5,A8.5,severity,T_low,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.5,A8.5,severity,T_med,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.6,A8.6,count,T_low,2,8.0,8.0,8.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.6,A8.6,count,T_med,3,6.666667,4.0,8.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.6,A8.6,cvr,T_low,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.6,A8.6,cvr,T_med,3,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.6,A8.6,severity,T_low,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.6,A8.6,severity,T_med,3,0.9,0.7,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.7,A8.7,count,T_high,2,23.0,16.0,30.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.7,A8.7,count,T_low,2,14.0,6.0,22.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.7,A8.7,count,T_med,2,9.5,6.0,13.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.7,A8.7,cvr,T_high,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.7,A8.7,cvr,T_low,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.7,A8.7,cvr,T_med,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.7,A8.7,severity,T_high,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.7,A8.7,severity,T_low,2,0.85,0.7,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.7,A8.7,severity,T_med,2,0.7,0.7,0.7,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.1,A8.1,count,T_high,4,6.0,3.0,9.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.1,A8.1,count,T_low,1,9.0,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.1,A8.1,count,T_med,1,12.0,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.1,A8.1,cvr,T_high,4,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.1,A8.1,cvr,T_low,1,1.0,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.1,A8.1,cvr,T_med,1,1.0,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.1,A8.1,severity,T_high,4,0.775,0.7,0.925,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.1,A8.1,severity,T_low,1,1.0,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.1,A8.1,severity,T_med,1,0.7,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.2,A8.2,count,T_high,3,2.0,2.0,2.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.2,A8.2,count,T_low,5,8.0,2.0,15.2,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.2,A8.2,count,T_med,1,6.0,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.2,A8.2,cvr,T_high,3,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.2,A8.2,cvr,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.2,A8.2,cvr,T_med,1,1.0,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.2,A8.2,severity,T_high,3,0.7,0.7,0.7,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.2,A8.2,severity,T_low,5,0.7,0.7,0.7,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.2,A8.2,severity,T_med,1,0.7,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.3,A8.3,count,T_high,4,8.0,2.5,16.5,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.3,A8.3,count,T_low,2,8.0,8.0,8.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.3,A8.3,count,T_med,1,8.0,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.3,A8.3,cvr,T_high,4,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.3,A8.3,cvr,T_low,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.3,A8.3,cvr,T_med,1,1.0,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.3,A8.3,severity,T_high,4,0.7,0.7,0.7,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.3,A8.3,severity,T_low,2,0.7,0.7,0.7,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.3,A8.3,severity,T_med,1,0.7,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.4,A8.4,count,T_high,2,8.0,8.0,8.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.4,A8.4,count,T_low,3,3.666667,1.0,8.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.4,A8.4,count,T_med,1,14.0,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.4,A8.4,cvr,T_high,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.4,A8.4,cvr,T_low,3,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.4,A8.4,cvr,T_med,1,1.0,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.4,A8.4,severity,T_high,2,0.7,0.7,0.7,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.4,A8.4,severity,T_low,3,0.8,0.7,1.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.4,A8.4,severity,T_med,1,0.7,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.5,A8.5,count,T_high,5,11.4,6.0,16.4,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.5,A8.5,count,T_low,4,4.5,2.0,9.5,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.5,A8.5,count,T_med,2,4.5,3.0,6.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.5,A8.5,cvr,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.5,A8.5,cvr,T_low,4,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.5,A8.5,cvr,T_med,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.5,A8.5,severity,T_high,5,0.7,0.7,0.7,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.5,A8.5,severity,T_low,4,0.7,0.7,0.7,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.5,A8.5,severity,T_med,2,0.7,0.7,0.7,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.6,A8.6,count,T_high,1,3.0,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.6,A8.6,count,T_low,1,24.0,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.6,A8.6,count,T_med,3,14.0,6.0,22.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.6,A8.6,cvr,T_high,1,1.0,,,percentile_bootstrap,10000,42
